name,latitude,longitude
68 СОУ "Акад. Н.Обрешков",42.6537056,23.4019488
ПГ по дървообработване “Г.Кондолов”,42.4880747,27.4466571
Любен Каравелов,43.9970346,22.8707424
8 СУ „П. Р. Славейков“,44.0022552,22.8838007
2-ро ОУ Стефан Пешев,43.0231423,25.1008434
Национална финансово-стопанска гимназия,42.6833713,23.3260198
35 СОУ "Добри Войников",42.6826868,23.3279825
90 СУ „Ген. Хосе де Сан Мартин“,42.7252804,23.2541401
ОУ Св. Св. Кирил и Методий,42.7812125,23.1128876
ПГ по транспорт и енергетика „Хенри Форд“,42.7120177,23.2879577
ОУ "Неофит Рилски ",43.404855,25.873906
ОУ Черноризец Храбър,43.2246072,27.9261155
Английска езикова гимназия Гео Милев,42.5287003,27.4665982
Гимназия по сградостроителство и исталации Пеньо Пенев,42.5143597,27.4686253
Немска езикова гимназия Гьоте,42.5146233,27.4702284
ОУ Братя Миладинови,42.5060785,27.465343
Гимназия за романски езици Георги С. Раковски,42.4993644,27.4716556
ОУ "Александър Георгиев - Коджакафалията",42.501514,27.4710725
Музикално училище Панчо Владигеров,42.502161,27.4617158
Гимназия по строителство, архитектура и геодезия Колю Фичето,42.5074049,27.4688027
Университет Проф. Д-р Асен Златаров Медицински колеж,42.5087362,27.468775
Гимназия по механоелектротехника и електроника,42.5066178,27.4690854
Професионална гимназия по туризъм "Асен Златаров",42.5063089,27.4692269
СОУ "Св. Св. Кирил и Методий",42.4971447,27.472997
Търговска гимназия,42.4915934,27.4746809
ОУ Любен Каравелов,42.498901,27.463531
ПГЕЕ К. Фотинов & СОУ Иван Вазов,42.4974628,27.4688242
ОУ Св. Климент Охридски,42.5206474,27.464363
ОУ ''Георги Бенковски'',42.5176591,27.4679349
СОУ Димчо Дебелянов,42.5146356,27.4561107
ОУ Антон Страшимиров,42.5194789,27.4506172
НБУ Михаил Лъкатник,42.5214864,27.4483009
СОУ ''Константин Преславски'',42.5229913,27.4519433
ОУ Пейо Яворов,42.5090098,27.4717754
ОУ "Св. Княз Борис 1",42.4948562,27.4675121
ПУ Отец Паисий,42.5035096,27.4676823
ОУ Васил Друмев,43.2118709,27.9285721
ОУ "Константин Арабаджиев",43.2087035,27.9005202
ОУ "Г.С.Раковски",43.2167079,27.9342398
I ЕГ,43.2248421,27.9159618
3 ОУ Ангел Кънчев,43.2254745,27.9142979
7 СОУ "Найден Геров",43.2164331,27.9251089
Професионална гимназия по електротехника,43.2225885,27.9022489
Спортно училище Георги Бенковски,43.2178205,27.9436075
ОУ "Христо Ботев",43.6903161,23.8132752
ОУ "Васил Априлов",43.2140001,27.9108778
60 ОУ "св.св. Кирил и Методи",42.7414545,23.3451587
120 ОУ "Георги Сава Раковски",42.6837766,23.3255592
Девето ОУ „Веселин Ханчев“,42.4304076,25.6400145
Второ ОУ "Петко Рачов Славейков",42.4282504,25.6236235
ПГМТ „Никола Вапцаров“,42.4308651,25.6365438
ПГЕТ „Георги Раковски“,42.4315788,25.6396383
СУ „Максим Горки“,42.4273864,25.6221923
Шесто ОУ „Свети Никола“,42.4221122,25.6238178
ПГОХ "Райна Княгиня",42.4249957,25.6237072
ППМГ „Гео Милев“,42.4322498,25.627492
СУ „Васил Левски“,42.4252361,25.633088
ГПЧЕ „Ромен Ролан“,42.4285261,25.628705
ОУ "Петко Р. Славейков",42.1387615,24.7683529
15 СУ „Адам Мицкевич“,42.7281245,23.3082812
